item_id,trial_type,pic_file,trial_lang,sing_plur,du_gend,carrier,object_name
1,target,17_u2_key.png,English,sing,,is this,Key
2,target,3_sem_tap.png,English,sing,,is this,Tap
3,target,5_u2_tie.png,English,sing,,is this,Tie
4,target,5_sem_cake.png,English,sing,,is this,Cake
5,target,7_sem_present.png,English,sing,,is this,Present
6,target,8_sem_monkey.png,English,sing,,is this,Monkey
7,target,12_u1_meat.png,English,sing,,is this,Meat
8,target,14_vis_gun.png,English,sing,,is this,Gun
9,target,21_u2_bell.png,English,sing,,is this,Bell
10,target,24_u1_pants.png,English,plur,,are these,Pants
11,target,25_u2_barrel.png,English,sing,,is this,Barrel
12,target,26_sem_bowl.png,English,sing,,is this,Bowl
13,target,27_u1_eagle.png,English,sing,,is this,Eagle
14,target,27_u2_basket.png,English,sing,,is this,Basket
15,target,35_u1_fan.png,English,sing,,is this,Fan
16,target,38_u1_bow.png,English,sing,,is this,Bow
17,target,40_u1_chair.png,English,sing,,is this,Chair
18,target,41_u1_frog.png,English,sing,,is this,Frog
19,target,41_u2_drum.png,English,sing,,is this,Drum
20,target,45_u2_bag.png,English,sing,,is this,Bag
21,target,47_vis_lighter.png,English,sing,,is this,Lighter
22,target,54_vis_tray.png,English,sing,,is this,Tray
23,target,56_vis_globe.png,English,sing,,is this,Globe
24,target,59_u1_chain.png,English,sing,,is this,Chain
25,target,61_u1_belt.png,English,sing,,is this,Belt
26,target,62_u2_desk.png,English,sing,,is this,Desk
27,target,63_u1_leaf.png,English,sing,,is this,Leaf
28,target,67_vis_fence.png,English,sing,,is this,Fence
29,target,69_u1_watch.png,English,sing,,is this,Watch
30,target,70_vis_snake.png,English,sing,,is this,Snake
31,target,74_sem_cap.png,English,sing,,is this,Cap
32,target,74_u2_package.png,English,sing,,is this,Package
33,target,74_vis_iron.png,English,sing,,is this,Iron
34,target,80_u2_jacket.png,English,sing,,is this,Jacket
35,target,82_vis_rope.png,English,sing,,is this,Rope
36,target,86_sem_horse.png,English,sing,,is this,Horse
37,target,87_u1_flower.png,English,sing,,is this,Flower
38,target,92_sem_spoon.png,English,sing,,is this,Spoon
39,target,93_sem_teeth.png,English,sing,,is this,Teeth
40,target,7_vis_cherry.png,English,sing,,is this,Cherry
41,target,94_u1_shark.png,English,sing,,is this,Shark
42,target,94_u2_slide.png,English,sing,,is this,Slide
43,target,95_sem_lobster.png,English,sing,,is this,Lobster
44,target,97_u1_sausage.png,English,sing,,is this,Sausage
45,target,98_u2_lock.png,English,sing,,is this,Lock
46,target,97_vis_cross.png,English,sing,,is this,Cross
47,target,3_u1_baseball glove.png,English,sing,,is this,baseball glove
48,target,4_u2_coffee machine.png,English,sing,,is this,coffee machine
49,target,4_vis_hot water bottle.png,English,sing,,is this,hot water bottle
50,target,5_u1_ice skate.png,English,sing,,is this,ice skate
51,target,6_sem_soccer shoes.png,English,plur,,are these,soccer shoes
52,target,7_u1_cheese slicer.png,English,sing,,is this,cheese slicer
53,target,11_sem_rocking horse.png,English,sing,,is this,rocking horse
54,target,14_sem_measuring tape.png,English,sing,,is this,measuring tape
55,target,14_u2_office chair.png,English,sing,,is this,office chair
56,target,18_sem_baby bottle.png,English,sing,,is this,baby bottle
57,target,19_vis_life saver.png,English,sing,,is this,life saver
58,target,20_vis_ice cream.png,English,sing,,is this,ice cream
59,target,22_u2_playing cards.png,English,plur,,are these,playing cards
60,target,25_u1_rubber duck.png,English,sing,,is this,rubber duck
61,target,25_vis_rolling pin.png,English,sing,,is this,rolling pin
62,target,27_sem_light switch.png,English,sing,,is this,light switch
63,target,28_u1_shaving brush.png,English,sing,,is this,shaving brush
64,target,28_vis_bike pedals.png,English,plur,,are these,bike pedals
65,target,31_u2_ice cream cone.png,English,sing,,is this,ice cream cone
66,target,32_sem_cement truck.png,English,sing,,is this,cement truck
67,target,33_u1_teddy bear.png,English,sing,,is this,teddy bear
68,target,34_u2_bottle opener.png,English,sing,,is this,bottle opener
69,target,36_sem_coat rack.png,English,sing,,is this,coat rack
70,target,38_vis_band aid.png,English,sing,,is this,band aid
71,target,42_u2_dentist chair.png,English,sing,,is this,dentist chair
72,target,43_sem_rocking chair.png,English,sing,,is this,rocking chair
73,target,48_u1_trash can.png,English,sing,,is this,trash can
74,target,48_u2_life jacket.png,English,sing,,is this,life jacket
75,target,52_u2_trash bags.png,English,plur,,are these,trash bags
